question,faithfulness_score,faithfulness_reason,answer_relevancy_score,answer_relevancy_reason,contextual_precision_score,contextual_precision_reason,answer,ground_truth,contexts
cual es el torque y potencia maxima que tiene la moto,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,1.0,"The score is 1.00 because the answer directly addresses the question about the maximum torque and power of a motorcycle, making it highly relevant to the input.",0.3333333333333333,The score is 0.33 because irrelevant nodes like record sales information (ranked 1st) and unrelated specifications (ranked 2nd) should be ranked lower than the relevant node providing torque and power data (ranked 3rd).,"La Bajaj Boxer CT100 KS tiene una potencia máxima de 7.59 HP a 7500 RPM y un torque máximo de 8.24 NM a 5500 RPM. Estos valores están especificados en la documentación técnica proporcionada. Si necesitas más información, no dudes en preguntar.",Potencia: 7.59 HP a 7.500 RPM. Torque: 8.24 Nm a 5.500 RPM.,"CONTAMOS CON EL
RECORDDEMOTOSVENDIDAS
Orgullosamente líderes en Colombia. Boxer establece un récord en la industria, con la moto
más vendida en la historia de Colombia: la BOXER CT100. Un testimonio de confianza y
rendimiento que nos impulsa a seguir brindando lo mejor en cada viaje. ¡Únete a la leyenda
con una BOXER!
651.905
BOXER CT100 VENDIDAS A LA FECHA, DESDE 1998
CONÓCELA A FONDO
DETALLESTÉCNICOSDELABOXERCT100KS
Catálogo 5 Manual 5
MOTOR
MOTOR
Motor: 4 tiempos, Monocilíndrico, SOHC
Boxer C..."
cada cuanto es recomendable cambiarle el aceite a la moto y cuanto debo echarle,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,0.7142857142857143,"The score is 0.71 because it's affected by irrelevant statements such as the advice on disassembling and keeping the oil level between marks, which aren't directly related to the input question about when and how much oil to change.",0.325,"The score is 0.33 because nodes ranked lower than the correct answer ('Recomendamos utilizar para todas nuestras motocicletas Aceite Genuino BAJAJ (BGO) y realizar el cambio cada 5.000 km a 5.500 km o cada tres meses lo que primero ocurra.') contain irrelevant information, such as general descriptions of engine oil and unrelated topics like 'continuación se debe enjuagar' and 'Cadena - Aceite de Motor', which do not provide specific guidance on when to change the oil.","Para la Bajaj Boxer CT100 KS, se recomienda cambiar el aceite cada 5.000 km a 5.500 km o cada tres meses, lo que ocurra primero. La capacidad de aceite para este modelo es de 1.000 cc para el cambio y 1.100 cc para el desensamble. Es importante utilizar aceite de motor 4T con especificaciones SAE 20 W 50/ 10 W 30, API SL, JASO MA. Recuerda verificar el nivel de aceite regularmente y mantenerlo entre la marca superior y la marca inferior de la mirilla. Si tienes alguna otra pregunta, no dudes en preguntar.","Cada 5.000 a 5.500 km o cada 3 meses. Cantidad: 1.000 cc (cambio normal), 1.100 cc (con desensamble).","continuación se debe enjuagar.
OTRAS •Se aconseja, sobre todo para condiciones de funcionamiento adversas, proteger la motocicleta con ceras o
RECOMENDACIONES lubricantes adecuados. Su Concesionario podrá aconsejarle acerca de los mismos.
•Si va a guardar la motocicleta durante un tiempo, consulte con su Centro de Servicio UMA para las
recomendaciones indicadas.
•Recuerde agendar cita en su Centro de Servicio UMA más cercano para los cambios periódicos de aceite,
mantenimientos preventivos, gene..."
cual es la elongadura recomendada de la cadena y cada cuanto debo cambiar el kit de arrastre,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,0.75,"The score is 0.75 because the actual output addresses the main question about recommended chain elongation and when to change the drag kit, but lacks a specific recommendation for elongation itself.",0.2,"The score is 0.20 because irrelevant nodes like section talks about bike specifications, bike features, and technical characteristics are ranked higher than the node mentioning lubricating the chain every 500 km (ranked as the fifth node), making it hard to distinguish relevant information.","La información proporcionada no especifica la elongación recomendada de la cadena ni la frecuencia de cambio del kit de arrastre para la Bajaj Boxer CT100 KS. Sin embargo, se menciona que el no realizar el mantenimiento adecuado o mantener la holgura de la cadena fuera de los límites generará un desgaste acelerado del kit de arrastre. También se recomienda lubricar la cadena por lo menos cada 500 km si se utiliza la motocicleta en zonas muy húmedas o polvorientas. Para obtener información más detallada, te recomiendo consultar el cuadro de mantenimiento periódico o la documentación oficial de la motocicleta.",Holgura recomendada entre 20 y 30 mm. Lubricar cada 500 km. Cambiar el kit cuando haya desgaste visible.,"la marca superior (C) y la marca inferior (D).
NOTA: El no realizar este proceso o mantener la
holgura de la cadena fuera de estos límites generará Es muy importante seguir la frecuencia recomendada
un desgaste acelerado del kit de arrastre. de cambio de aceite para dar una larga vida a los componentes del motor.
Lubrique la cadena por lo menos cada 500 km si usa Para más detalles consulte cuadro de mantenimiento periódico.
la motocicleta en zonas muy húmedas o polvorientas.
. 22 .

un desgaste ..."
en que parte puedo encontrar la bateria de la moto,0.5,"The score is 0.50 because the actual output seems to have omitted a detail mentioned in the retrieval context, specifically the location of the battery, which was already left out in the original claims. This minor discrepancy contributes to the moderate faithfulness score.",1.0,"The score is 1.00 because the answer directly addresses the input question about finding the motorcycle battery, making it highly relevant.",0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,"La ubicación de la batería en la moto Bajaj Boxer CT100 KS no se especifica en la documentación proporcionada. Sin embargo, en la mayoría de las motocicletas, la batería suele estar ubicada en una posición accesible, como debajo del asiento o en un compartimiento cerca del motor. Te recomiendo consultar el manual del propietario o la documentación oficial de la motocicleta para obtener información precisa sobre la ubicación de la batería en tu Bajaj Boxer CT100 KS.",Está ubicada en el interior de la cubierta lateral izquierda.,"ADVERTENCIA Indica un peligro potencial o lesiones GRAVES a usted u otras personas y hacia el vehículo
si no se siguen las instrucciones.
PRECAUCIÓN Indica un peligro potencial que podría resultar en daños SERIOS al vehículo o en HERIDAS
a usted. Siga los consejos con la debida precaución.
Para garantizar su seguridad:
•Lea con detenimiento este manual del propietario.
•Siga todas las recomendaciones y procedimientos incluidos en este manual.
•Preste especial atención a los mensajes de seguridad..."
en que parte puedo encontrar el serial del chasis y el del motor de la moto,0.0,"The score is 0.00 because the actual output contradicts the retrieval context by stating that the VIN number is actually located on the front right side of the chassis (not in the front right part), and also specifies the motor serial number is located on the lower part of the motor (not just below the gearshift).",0.8,"The score is 0.80 because the answer has a high level of relevance to finding the serial numbers, but includes one irrelevant statement providing additional context about their importance.",0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,"Para encontrar el número de serie del chasis y el número de serie del motor en la moto Bajaj Boxer CT100 KS, puedes seguir estos pasos:

- El número de VIN (número de serie del chasis) se ubica en la parte frontal derecha del chasis, justo en frente del tanque de combustible.
- El número de serie del motor se encuentra en la parte inferior del motor, del lado izquierdo, justo debajo de la palanca de cambios.

Es importante tener estos números a mano para cualquier consulta o servicio relacionado con tu motocicleta. Si necesitas más información, no dudes en preguntar.","VIN: parte frontal derecha del chasis. Motor: parte inferior izquierda, debajo de la palanca de cambios.","Identificación de Los números de Motor y de VIN (Chasis) se utilizan para registrar e identificar la motocicleta
la Motocicleta su motocicleta BAJAJ CT-100 KS particular de otros del mismo modelo y el tipo.
El número de VIN se ubica en la parte frontal derecha El número de Motor se ubica en la parte inferior del motor
del chasis, justo en frente del tanque de combustible del lado izquierdo, justo debajo de la palanca de cambios.
. 13 .

Tablas:

Identificación de
la Motocicleta su motocicleta BA..."
cuanta gasolina le cabe a la moto,1.0,"The score is 1.00 because there are no contradictions found between the 'actual output' and the 'retrieval context', indicating a perfect alignment!",1.0,"The score is 1.00 because the answer directly addresses the question about how much gasoline fits in a motorcycle, making it highly relevant.",1.0,"The score is 1.00 because irrelevant nodes like 'SA galgo' and 'MARCA: BAJAJ' should be ranked lower than relevant nodes like the first one that clearly indicates the gas tank capacity, which helps determine the answer to 'cuanta gasolina le cabe a la moto'.","La capacidad del tanque de gasolina de la moto Bajaj Boxer CT100 KS es de 10.5 litros. Esto te permite disfrutar de una autonomía considerable, según se menciona en la documentación, de aproximadamente 500 km con el tanque lleno, gracias a su eficiencia de combustible de 55 kmpl.",Capacidad total: 10.5 litros. Reserva: 2.3 litros.,"SA galgo
MARCA: BAJAJ
Modelo: BOXER CT100 KS
Año: 2024
Ú MOTOR
MOTOR
Motor: 4 tiempos, Monocilindrico, SOHC
SISTEMA e .
C Cilindraje: 102 cc
& Máxima potencia: 7.59 Hp @ 7500 rpm
CHASIS
Torque máximo: 8.24 N.m @ 5500 rpm
—
i
Embrague: Multi-Disco Bañado en Aceite
DIMENSIONES
Diámetro: 47 mm x 58.8 mm
Transmisión: 4 Velocidades
Alimentación: Carburador
Arranque: Pedal
Información extraída del sitio web oficial de la marca

Tablas:

CILINDRAJE 102 CC 97.2 CC
POTENCIA 7.59 HP 7500 RPM 7.7 HP 7500 R..."
en donde se encuentra la llave de gasolina de la moto,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,1.0,"The score is 1.00 because the actual output directly answers the question about where to find the gasoline key on a motorcycle, with no irrelevant statements.",0.3333333333333333,"The score is 0.33 because irrelevant nodes (nodes 1 and 2) seem to provide information unrelated to finding the location of the gas cap, while relevant node (node 3) explicitly provides clear instructions on where it is located.","La llave o mecanismo de apertura del tanque de gasolina en la moto Bajaj Boxer CT100 KS se encuentra en la cerradura del tanque. Para abrir la tapa del depósito de combustible, debes insertar la llave en la cerradura y girarla hacia la derecha, luego levantar la tapa del tanque de combustible. La tapa se cierra empujándola hacia abajo.","Está en el lateral del motor. Posiciones: ON, RES y OFF.","Identificación de
la Motocicleta su motocicleta BAJAJ CT-100 ES particular de otros del mismo modelo y el tipo.
El número de VIN se ubica en la parte frontal derecha El número de Motor se ubica en la parte inferior del motor
del chasis, justo en frente del tanque de combustible del lado izquierdo, justo debajo de la palanca de cambios.
. 13 .

Tablas:

ADVERTENCIA Indica un peligro potencial o lesiones GRAVES a usted u otras personas y hacia el vehículo
si no se siguen las instrucciones.
PRECAUC..."
cuales son las especificaciones de la bateria,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,0.3333333333333333,"The score is 0.33 because the actual output contains irrelevant statements that provide advice or general information without specifying the battery details, as requested in the input.",0,"The score is 0.00 because the first 11 nodes in the retrieval contexts are all irrelevant nodes that do not provide any information about battery specifications, making it clear why they should be ranked lower than the relevant nodes.","La información proporcionada no especifica las características técnicas de la batería de la moto Bajaj Boxer CT100 KS. No hay detalles sobre la capacidad, el tipo o la ubicación de la batería en la documentación proporcionada. Si necesitas información precisa sobre la batería, te recomiendo consultar el manual del propietario o la documentación oficial de la motocicleta.","12V, 3Ah, tipo MF (libre de mantenimiento).","CILINDRAJE 102 CC 97.2 CC
POTENCIA 7.59 HP 7500 RPM 7.7 HP 7500 RPM
TORQUE 8.24 NM @5500 RPM 8.2 NM @4500 RPM
ENCENDIDO Pedal Pedal
CAPACIDAD DEL 10.5 L 10.5 L
TANQUE
FRENO DELANTERO Tambor 110 mm Tambor
SUSPENSION TRASERA Brazo oscilante, Tecnología SNS de 5 Doble amortiguador ajustable e
posiciones
USB Si No
*La información técnica e imágenes de referencia de las motocicletas fue tomada del
sitio oficial de cada una de las marcas a la fecha 31/10/2024.
Boxer CT100 KS
PRECI
VER AHORRO
O Cotizar..."
cuantas marchas tiene la moto,1.0,"The score is 1.00 because there are no contradictions detected between the actual output and the retrieval context, indicating a perfect match!",1.0,"The score is 1.00 because the answer perfectly addresses the input question, providing a relevant response with no irrelevant information.",0,"The score is 0.00 because the irrelevant node (node 1) ranked first should be ranked lower than relevant nodes, but since there's only one retrieval context, no 'yes' verdicts are present to compare.","La moto Bajaj Boxer CT100 KS tiene una transmisión de 4 velocidades. Esto se menciona en la documentación técnica proporcionada, específicamente en la sección de características del motor, donde se indica que la transmisión es de 4 velocidades.",Tiene 4 velocidades.,"CILINDRAJE 102 CC 97.2 CC
POTENCIA 7.59 HP 7500 RPM 7.7 HP 7500 RPM
TORQUE 8.24 NM @5500 RPM 8.2 NM @4500 RPM
ENCENDIDO Pedal Pedal
CAPACIDAD DEL 10.5 L 10.5 L
TANQUE
FRENO DELANTERO Tambor 110 mm Tambor
SUSPENSION TRASERA Brazo oscilante, Tecnología SNS de 5 Doble amortiguador ajustable e
posiciones
USB Si No
*La información técnica e imágenes de referencia de las motocicletas fue tomada del
sitio oficial de cada una de las marcas a la fecha 31/10/2024.
Boxer CT100 KS
PRECI
VER AHORRO
O Cotizar..."
cada cuanto debo realizarle un mantenimiento preventivo o uno correctivo,0.75,"The score is 0.75 because the actual output contradicts the retrieval context by providing additional information about maintenance that is not mentioned in the manual, specifically suggesting consulting a UMA Service Center, which is not mentioned in the manual.",1.0,"The score is 1.00 because the answer directly addresses the input question about maintenance scheduling, making it fully relevant and accurate.",0.3333333333333333,"The score is 0.33 because although there are irrelevant nodes (nodes 1, 2, and 4) ranked lower than the relevant node (node 3), some of these irrelevant nodes should be ranked even lower due to stronger reasons for being irrelevant, such as lacking maintenance schedules or frequency information.","Para la Bajaj Boxer CT100 KS, se recomienda realizar un mantenimiento preventivo en los Centros de Servicio UMA, que están equipados para el mantenimiento y reparaciones de esta motocicleta. Es importante seguir el calendario de mantenimiento preventivo, que se determina por kilometraje o tiempo transcurrido, lo que ocurra primero. 

Se menciona que las inspecciones periódicas son fundamentales para la conservación del vehículo y son exigidas durante el período de garantía. Sin embargo, no se proporcionan detalles específicos sobre la frecuencia exacta para realizar un mantenimiento preventivo o correctivo en la documentación proporcionada.

Es recomendable consultar el manual del propietario o comunicarse con un Centro de Servicio UMA para obtener información más detallada y personalizada sobre el mantenimiento de su Bajaj Boxer CT100 KS.",Preventivo cada 5.000 km. Correctivo depende del desgaste. Es recomendable hacerlo en centros UMA.,"ADVERTENCIA Indica un peligro potencial o lesiones GRAVES a usted u otras personas y hacia el vehículo
si no se siguen las instrucciones.
PRECAUCIÓN Indica un peligro potencial que podría resultar en daños SERIOS al vehículo o en HERIDAS
a usted. Siga los consejos con la debida precaución.
Para garantizar su seguridad:
•Lea con detenimiento este manual del propietario.
•Siga todas las recomendaciones y procedimientos incluidos en este manual.
•Preste especial atención a los mensajes de seguridad..."
