question,faithfulness_score,faithfulness_reason,answer_relevancy_score,answer_relevancy_reason,contextual_precision_score,contextual_precision_reason,answer,ground_truth,contexts
cual es el torque y potencia maxima que tiene la moto,1.0,The score is 1.00 because there are no contradictions found between the actual output and the retrieval context.,0.6666666666666666,"The score is 0.67 because the model was able to provide some relevant information about motor specifications, but was sidetracked by an irrelevant greeting in the actual output, specifically ¡Hola! which is not related to the input's question about torque and maximum power.",0,"The score is 0.00 because all three nodes (nodes 1, 2, and 3) are marked as irrelevant ('no' verdict), indicating that none of them are relevant to the input 'cual es el torque y potencia maxima que tiene la moto', which queries the maximum torque and power of a motorcycle. The reasons provided suggest that these nodes do not contain any information about performance characteristics, making it essential for them to be ranked lower than any potential 'yes' verdicts.","¡Hola!  

De acuerdo a la información que tengo sobre la Bajaj Boxer CT100 KS,  el documento que proporcionaste no menciona los valores exactos de potencia y torque. 

¿Te gustaría que buscara esa información en otras fuentes? 

",Potencia: 7.59 HP a 7.500 RPM. Torque: 8.24 Nm a 5.500 RPM.,"de manera segura. • Revise la tensión de la cadena de 20 a 30 mm y
• Lleve siempre los documentos de la motocicleta que esté bien lubricada.
vigentes y una licencia válida de conducción. • Funcionamiento de todas las luces y bocina.
• Evite manejar sobre arena suelta o piedras, • Movimiento suave de la dirección sin restricciones.
donde el vehículo podría patinar. • Juego libre en la palanca de embrague de 2 a 3 mm.
• Sujete adecuadamente la ropa suelta mientras • Regreso del estante central y l..."
cada cuanto es recomendable cambiarle el aceite a la moto y cuanto debo echarle,1.0,"The score is 1.00 because there are no detected contradictions between the 'actual output' and the 'retrieval context', indicating perfect faithfulness!",0.6666666666666666,"The score is 0.67 because the model's answer partially addresses the question, but includes irrelevant information such as the greeting ¡Hola! which does not relate to changing motorcycle oil.",0.8333333333333333,"The score is 0.83 because irrelevant nodes, such as the first-ranked 'Almacenamiento de la Motocicleta' node and the third-ranked 'Grifo de combustible' node, are correctly ranked lower than relevant nodes that provide information about changing oil in the motorcycle, specifically the second-ranked node that recommends changing oil every 5.000 to 5.500 km or every 3 months.","¡Hola! 

Para saber con exactitud cada cuánto cambiar el aceite y la cantidad a echar, te recomiendo consultar la tabla de mantenimiento periódico que viene con tu moto.  

En esa tabla encontrarás los intervalos de cambio de aceite específicos para la Bajaj Boxer CT100 KS, así como la cantidad recomendada. 

","Cada 5.000 a 5.500 km o cada 3 meses. Cantidad: 1.000 cc (cambio normal), 1.100 cc (con desensamble).","un desgaste acelerado del kit de arrastre. de cambio de aceite para dar una larga vida a los componentes del motor.
Lubrique la cadena por lo menos cada 500 km si usa Para más detalles consulte cuadro de mantenimiento periódico.
la motocicleta en zonas muy húmedas o polvorientas.
. 22 .

Cadena - Aceite de Motor
IMPORTANTE
Antes de encender el moto
aceite 4T es el adecuado. Ver sección: ACEITE MOTOR
ACEITE DEL MOTOR: Revisar cada semana
• Mantenga el nivel de aceite entre
la marca superior y la ..."
cual es la elongadura recomendada de la cadena y cada cuanto debo cambiar el kit de arrastre,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,0.6666666666666666,"The score is 0.67 because the answer seems to be mostly relevant to the input question about chain elongation and recommended intervals for changing the traction kit, with only minor irrelevant statements.",0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,"¡Hola! 

La información sobre la elongación recomendada de la cadena y la frecuencia de cambio del kit de arrastre para la Bajaj Boxer CT100 KS no está disponible en el documento que me has proporcionado. 

Te recomiendo consultar el manual de usuario de tu moto o buscar esa información en el sitio web oficial de Bajaj. 

",Holgura recomendada entre 20 y 30 mm. Lubricar cada 500 km. Cambiar el kit cuando haya desgaste visible.,"la marca superior (C) y la marca inferior (D).
NOTA: El no realizar este proceso o mantener la
holgura de la cadena fuera de estos límites generará Es muy importante seguir la frecuencia recomendada
un desgaste acelerado del kit de arrastre. de cambio de aceite para dar una larga vida a los componentes del motor.
Lubrique la cadena por lo menos cada 500 km si usa Para más detalles consulte cuadro de mantenimiento periódico.
la motocicleta en zonas muy húmedas o polvorientas.
. 22 .

banda elásti..."
en que parte puedo encontrar la bateria de la moto,1.0,"The score is 1.00 because there are no contradictions between the 'actual output' and the 'retrieval context', indicating perfect alignment!",0.5,"The score is 0.50 because the model failed to directly address the question about the location of the battery in the input, instead including a greeting that is not relevant to finding the location of the battery.",1.0,"The score is 1.00 because irrelevant nodes (nodes 2 and 3) are correctly ranked lower than the relevant node (node 1) that provides specific information about the battery's location, making it clear why the 'no' verdicts should be ranked lower.","¡Hola! 

La batería de la Bajaj Boxer CT100 KS se encuentra ubicada en el interior de la cubierta izquierda.  
",Está ubicada en el interior de la cubierta lateral izquierda.,"veces para cubrir la pared del cilindro con el
aceite e instalar de nuevo la bujía. A. Retire la batería y colóquela
5. Coloque la motocicleta en una plataforma en una zona bien ventilada.
de modo que las ruedas no toquen el suelo. B. Antes de volver a usar la moto:
no pintadas para prevenir la oxidación. • Lleve la batería a recargar .
7. Lubrique los cables de control. • Aplique vaselina en los terminales de la batería
8. Cubra la moto perfectamente. (aplica solo a determinados modelos).
9. As..."
en que parte puedo encontrar el serial del chasis y el del motor de la moto,0.5,"The score is 0.50 because the actual output contradicts the retrieval context by stating the VIN number is directly in front of the fuel tank, when according to the context, it's actually located on the front right side of the motorcycle.",1.0,"The score is 1.00 because the input query directly asks for specific information, and the provided JSON answer accurately addresses this request, making all statements highly relevant to the question.",1.0,"The score is 1.00 because even though there are no irrelevant nodes to compare with, the single retrieval context provides accurate information on where to find the serial numbers, ensuring that only relevant nodes (like the one ranked first) are retrieved.","¡Hola! 

De acuerdo con la información que tengo, el número de VIN (chasis) se encuentra en la parte frontal derecha del chasis, justo en frente del tanque de combustible. El número de motor se ubica en la parte inferior del motor, del lado izquierdo, justo debajo de la palanca de cambios. 



","VIN: parte frontal derecha del chasis. Motor: parte inferior izquierda, debajo de la palanca de cambios.","Identificación de
la Motocicleta su motocicleta BAJAJ CT-100 ES particular de otros del mismo modelo y el tipo.
El número de VIN se ubica en la parte frontal derecha El número de Motor se ubica en la parte inferior del motor
del chasis, justo en frente del tanque de combustible del lado izquierdo, justo debajo de la palanca de cambios.
. 13 .

Tablas:

Identificación de Los números de Motor y de VIN (Chasis) se utilizan para registrar e identificar la motocicleta
la Motocicleta su motocicleta BA..."
cuanta gasolina le cabe a la moto,0.0,"The score is 0.00 because the actual output directly contradicts the information presented in the retrieval context, specifically stating that the fuel tap is in a certain position (RES) when the amount of fuel is greater than or equal to 1.2 liters, which is inconsistent with the claim that the tank can hold more than 1.2 liters.",0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,0,"The score is 0.00 because irrelevant nodes (nodes 1-4) dominate the retrieval context, making it necessary for the relevant nodes to be ranked lower.","¡Hola! 

De acuerdo a la información que tengo, el tanque de combustible de la Bajaj Boxer CT100 KS tiene capacidad para más de 1.2 litros de gasolina. 



",Capacidad total: 10.5 litros. Reserva: 2.3 litros.,"Grifo de combustible
desde el tanque hasta el carburador, este tiene 3 posiciones.
ON:
cantidad sea mayor a 1,2 litros, cuando la cantidad sea
menor a la mencionada la motocicleta se apagará.
Tapa del tanque de combustible
Para abrir la tapa del depósito de combustible, inserte
RES:
la llave en la cerradura y gírela hacia la derecha y
es menor a 1,2 litros, debe abastecer combustible lo
levante la tapa del tanque de combustible.
antes posible.
La tapa se cierra empujándola hacia abajo.
OFF:
. 17..."
en donde se encuentra la llave de gasolina de la moto,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,1.0,"The score is 1.00 because all nodes are correctly ranked, with relevant nodes ('yes') always appearing before irrelevant ones ('no'). The first node provides accurate information about the location of the gasoline key, while subsequent nodes contain unrelated details about motorcycles.","¡Hola! 

La llave de gasolina de la Bajaj Boxer CT100 KS se utiliza para controlar el flujo de combustible desde el tanque hasta el carburador.  
","Está en el lateral del motor. Posiciones: ON, RES y OFF.","Identificación de
la Motocicleta su motocicleta BAJAJ CT-100 ES particular de otros del mismo modelo y el tipo.
El número de VIN se ubica en la parte frontal derecha El número de Motor se ubica en la parte inferior del motor
del chasis, justo en frente del tanque de combustible del lado izquierdo, justo debajo de la palanca de cambios.
. 13 .

Tablas:

Grifo de combustible
desde el tanque hasta el carburador, este tiene 3 posiciones.
ON:
cantidad sea mayor a 1,2 litros, cuando la cantidad sea
me..."
cuales son las especificaciones de la bateria,1.0,The score is 1.00 because there are no detected contradictions between the actual output and retrieval context.,0.5,"The score is 0.50 because one irrelevant statement was made about a request for specifications of the battery, which took attention away from providing accurate and relevant information.",0,"The score is 0.00 because all five nodes ('Batería Bujía', how to use/maintain, irrelevant text about location, environmental responsibility, and warranty information) are ranked higher than the relevant 'yes' verdicts, making it clear that these irrelevant nodes should be ranked lower.","¡Hola! 

De acuerdo con la información que tengo, la batería de la Bajaj Boxer CT100 KS tiene una garantía de 6 meses o 6.000 km, lo primero que ocurra a partir de la fecha de entrega de la moto. 

Para conocer especificaciones como el tipo de batería, voltaje y referencia, te recomiendo revisar la ""INFORMACIÓN DE GARANTÍA DE LA BATERÍA"" que viene con tu moto. 



","12V, 3Ah, tipo MF (libre de mantenimiento).","Batería Bujía
La batería se encuentra ubicada en • Quite la bujía usando la
el interior de la cubierta izquierda. herramienta adecuada.
Cuide del Medio Ambiente entregando • Limpie la bujía.
la batería utilizada al centro de • Ajuste la calibración doblando
servicio UMA para su correcta el electrodo lateral con cuidado.
REFERENCIA
Calibración: 0,6 - 0,7 mm
• Cuando la batería está Bujías : Mico UR 3 AC o
descargada, llévela a recargar. Champion PRZ 9 HC
LLANTAS
PRECAUCIÓN:
Mantenga la presión ad..."
cuantas marchas tiene la moto,1.0,"The score is 1.00 because there are no contradictions found in the 'actual output', indicating perfect alignment with the retrieval context.",0.0,The score is 0.00 because the actual output seems to be unrelated to the input question 'cuantas marchas tiene la moto' (how many gears does it have) and instead appears to respond to a different query or question.,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,"¡Hola! 

La información sobre el número de marchas de la Bajaj Boxer CT100 KS no está disponible en el contexto que me has proporcionado. 



",Tiene 4 velocidades.,"Identificación de
la Motocicleta su motocicleta BAJAJ CT-100 ES particular de otros del mismo modelo y el tipo.
El número de VIN se ubica en la parte frontal derecha El número de Motor se ubica en la parte inferior del motor
del chasis, justo en frente del tanque de combustible del lado izquierdo, justo debajo de la palanca de cambios.
. 13 .

Tablas:

Identificación de Los números de Motor y de VIN (Chasis) se utilizan para registrar e identificar la motocicleta
la Motocicleta su motocicleta BA..."
cada cuanto debo realizarle un mantenimiento preventivo o uno correctivo,0.0,"The score is 0.00 because the actual output recommends a maintenance frequency for Bajaj Boxer CT100 KS that contradicts the retrieval context's recommendation, specifying every 5,000 km whereas the context recommends up to 50,000 km then every 5,000 km afterwards.",0.5,"The score is 0.50 because the answer only partially addresses the input question about maintenance frequency, with irrelevant statements that detract from its relevance.",0.41666666666666663,"The score is 0.42 because the first two 'no' nodes provide irrelevant general statements, while the third node provides specific information about the recommended maintenance schedule. The fourth node directly answers the question with specific maintenance schedules.","¡Hola! 

De acuerdo con la tabla de mantenimiento que te proporcioné, la frecuencia recomendada para un mantenimiento preventivo en la Bajaj Boxer CT100 KS es cada 5.000 km. 



",Preventivo cada 5.000 km. Correctivo depende del desgaste. Es recomendable hacerlo en centros UMA.,"PREGUNTAS FRECUENTES
¿Porqué son importantes • Son los que garantizan la calidad, seguridad e idoneidad de la motocicleta. En esos
las revisiones de mantenimientos realizamos ajustes a diferentes sistemas de la motocicleta y además
mantenimiento preventivo? recomendamos el cambio de algunas partes debido al desgaste normal por el uso
frecuente, el cambio de estas no corresponden a fallas en la motocicleta, por el
Para resumir son dos los factores que
hacen que los mantenimiento preventivos
sean ..."
