question,faithfulness_score,faithfulness_reason,answer_relevancy_score,answer_relevancy_reason,contextual_precision_score,contextual_precision_reason,answer,ground_truth,contexts
cual es el torque y potencia maxima que tiene la moto,1.0,"The score is 1.00 because there are no contradictions found between the actual output and retrieval context, indicating a perfect alignment!",1.0,"The score is 1.00 because the actual output directly answers the question about the maximum torque and power of a motorcycle, making every statement relevant to addressing the input.",0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,"¡Hola! Con gusto te proporciono la información sobre el torque y la potencia máxima de la Bajaj Boxer CT100 KS:

*   **Potencia máxima:** 7.59 HP a 7500 RPM
*   **Torque máximo:** 8.24 NM a 5500 RPM

Espero que esta información te sea útil. Si tienes alguna otra pregunta, no dudes en consultarme.",Potencia: 7.59 HP a 7.500 RPM. Torque: 8.24 Nm a 5.500 RPM.,"CONTAMOS CON EL
RECORDDEMOTOSVENDIDAS
Orgullosamente líderes en Colombia. Boxer establece un récord en la industria, con la moto
más vendida en la historia de Colombia: la BOXER CT100. Un testimonio de confianza y
rendimiento que nos impulsa a seguir brindando lo mejor en cada viaje. ¡Únete a la leyenda
con una BOXER!
651.905
BOXER CT100 VENDIDAS A LA FECHA, DESDE 1998
CONÓCELA A FONDO
DETALLESTÉCNICOSDELABOXERCT100KS
Catálogo 5 Manual 5
MOTOR
MOTOR
Motor: 4 tiempos, Monocilíndrico, SOHC
Boxer C..."
cada cuanto es recomendable cambiarle el aceite a la moto y cuanto debo echarle,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,"¡Hola! Para tu Bajaj Boxer CT100 KS, te recomiendo lo siguiente:

*   **Frecuencia de cambio de aceite:** Cada 5.000 km a 5.500 km o cada tres meses, lo que ocurra primero.
*   **Cantidad de aceite:**
    *   Cambio: 1.000 cc
    *   Desensamble: 1.100 cc

Además, te recomiendo usar Aceite Genuino BAJAJ (BGO) con especificaciones SAE 20 W 50, API SL, JASO MA. ¡Espero que esto te ayude a mantener tu moto en óptimas condiciones!","Cada 5.000 a 5.500 km o cada 3 meses. Cantidad: 1.000 cc (cambio normal), 1.100 cc (con desensamble).","continuación se debe enjuagar.
OTRAS •Se aconseja, sobre todo para condiciones de funcionamiento adversas, proteger la motocicleta con ceras o
RECOMENDACIONES lubricantes adecuados. Su Concesionario podrá aconsejarle acerca de los mismos.
•Si va a guardar la motocicleta durante un tiempo, consulte con su Centro de Servicio UMA para las
recomendaciones indicadas.
•Recuerde agendar cita en su Centro de Servicio UMA más cercano para los cambios periódicos de aceite,
mantenimientos preventivos, gene..."
cual es la elongadura recomendada de la cadena y cada cuanto debo cambiar el kit de arrastre,0.5,The score is 0.50 because the actual output contains contradictory information about a specific measurement range (chain slack vs brake clearance) and also introduces new maintenance recommendation that is not present in the retrieval context.,1.0,"The score is 1.00 because the actual output directly addresses the input question about recommended chain elongation and when to change the dragging kit, with no irrelevant statements.",0.7555555555555555,"The score is 0.76 because, although irrelevant nodes like 'lubbo' and 'freno' were ranked lower than relevant nodes like the recommendations for chain slack and lubrication frequency, there's still room for improvement in optimizing the ranking to prioritize the most pertinent information.","¡Hola! Con gusto te ayudo con tu pregunta sobre la cadena de tu Bajaj Boxer CT100 KS:

*   **Elongación recomendada de la cadena:** La holgura de la cadena debe estar entre 20 - 30 mm.
*   **Frecuencia de cambio del kit de arrastre:** No hay una frecuencia específica definida en la información proporcionada. Sin embargo, se indica que no mantener la holgura de la cadena dentro de los límites recomendados generará un desgaste acelerado del kit de arrastre.

Además, te recomiendo lubricar la cadena por lo menos cada 500 km, especialmente si usas la motocicleta en zonas muy húmedas o polvorientas.",Holgura recomendada entre 20 y 30 mm. Lubricar cada 500 km. Cambiar el kit cuando haya desgaste visible.,"la marca superior (C) y la marca inferior (D).
NOTA: El no realizar este proceso o mantener la
holgura de la cadena fuera de estos límites generará Es muy importante seguir la frecuencia recomendada
un desgaste acelerado del kit de arrastre. de cambio de aceite para dar una larga vida a los componentes del motor.
Lubrique la cadena por lo menos cada 500 km si usa Para más detalles consulte cuadro de mantenimiento periódico.
la motocicleta en zonas muy húmedas o polvorientas.
. 22 .

un desgaste ..."
en que parte puedo encontrar la bateria de la moto,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,1.0,"The score is 1.00 because the answer directly addresses the user's question about finding the battery of a motorcycle, without any irrelevant information.",1.0,"The score is 1.00 because irrelevant nodes, such as those discussing the USB charging port or motor, are correctly ranked lower than the relevant node that mentions the location of the battery in the first place.","¡Hola! En tu Bajaj Boxer CT100 KS, la batería se encuentra ubicada en el interior de la cubierta izquierda.",Está ubicada en el interior de la cubierta lateral izquierda.,"GARANTÍA EN BATERÍAS: La batería de su motocicleta BAJAJ cuenta con una garantía de 6 meses o 6.000 km, lo primero que
ocurra a partir de la fecha de entrega de su motocicleta.
Cada Centro de Servicio UMA registrará la siguiente información de la batería en la hoja de vida de
su motocicleta garantizando así una adecuada trazabilidad y transparencia al cliente en el momento
de evaluar una solicitud de garantía:
INFORMACIÓN DE GARANTÍA DE LA BATERÍA
Fecha de Venta
Marca
Referencia
Serial
Tipo de B..."
en que parte puedo encontrar el serial del chasis y el del motor de la moto,1.0,"The score is 1.00 because there are no contradictions found between the 'actual output' and the 'retrieval context', indicating perfect alignment.",1.0,"The score is 1.00 because the response directly answers the question about where to find the chassis and engine serial numbers of a motorcycle, making it highly relevant.",1.0,"The score is 1.00 because all nodes are ranked correctly: irrelevant nodes are correctly placed below the relevant node ('parte frontal derecha del chasis' and 'parte inferior izquierda, debajo de la palanca de cambios'), making it easy to find the serial numbers.","¡Hola! Con gusto te indico dónde encontrar el serial del chasis (VIN) y el número del motor en tu Bajaj Boxer CT100 KS:

*   **Número de VIN (Chasis):** Se ubica en la parte frontal derecha del chasis, justo en frente del tanque de combustible.
*   **Número de Motor:** Se encuentra en la parte inferior del motor, del lado izquierdo, justo debajo de la palanca de cambios.

Estos números son importantes para registrar e identificar tu motocicleta. ¡Espero que esta información te sea útil!","VIN: parte frontal derecha del chasis. Motor: parte inferior izquierda, debajo de la palanca de cambios.","Identificación de Los números de Motor y de VIN (Chasis) se utilizan para registrar e identificar la motocicleta
la Motocicleta su motocicleta BAJAJ CT-100 KS particular de otros del mismo modelo y el tipo.
El número de VIN se ubica en la parte frontal derecha El número de Motor se ubica en la parte inferior del motor
del chasis, justo en frente del tanque de combustible del lado izquierdo, justo debajo de la palanca de cambios.
. 13 .

Tablas:

Identificación de
la Motocicleta su motocicleta BA..."
cuanta gasolina le cabe a la moto,1.0,"The score is 1.00 because there are no contradictions found between the 'actual output' and the 'retrieval context', indicating a perfect alignment.",1.0,"The score is 1.00 because the answer directly addresses the question, 'cuanta gasolina le cabe a la moto', which asks about the amount of gasoline that fits in a motorcycle.",0,"The score is 0.00 because all three nodes in the retrieval context ('Grifo de combustible...', 'Tapa del tanque de combustible', and 'Aceite de Motor') that have a 'no' verdict are correctly ranked lower than any potential relevant node, as they are not related to the question about gasoline capacity.","¡Hola! Lamentablemente, no tengo la información específica sobre la capacidad del tanque de gasolina de la Bajaj Boxer CT100 KS en los documentos que me has proporcionado.",Capacidad total: 10.5 litros. Reserva: 2.3 litros.,"Grifo de combustible
desde el tanque hasta el carburador, este tiene 3 posiciones.
ON:
cantidad sea mayor a 1,2 litros, cuando la cantidad sea
menor a la mencionada la motocicleta se apagará.
Tapa del tanque de combustible
Para abrir la tapa del depósito de combustible, inserte
RES:
la llave en la cerradura y gírela hacia la derecha y
es menor a 1,2 litros, debe abastecer combustible lo
levante la tapa del tanque de combustible.
antes posible.
La tapa se cierra empujándola hacia abajo.
OFF:
. 17..."
en donde se encuentra la llave de gasolina de la moto,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,1.0,The score is 1.00 because the actual output directly addresses and answers the input question about the location of the gasoline key on a motorcycle.,0,"The score is 0.00 because all nodes in the retrieval contexts are irrelevant to the input, stating reasons that don't mention the location of the gas key, which is what the input is looking for.","¡Hola! La llave de gasolina de tu Bajaj Boxer CT100 KS no es una llave física, sino más bien una llave de paso o grifo de combustible. Este grifo tiene tres posiciones:

*   **ON:** Permite el flujo de combustible siempre que la cantidad en el tanque sea mayor a 1,2 litros. Si baja de este nivel, la moto se apagará.
*   **RES (Reserva):** Permite el flujo de combustible cuando la cantidad es menor a 1,2 litros. En esta posición, debes buscar abastecer combustible lo antes posible.
*   **OFF:** Restringe completamente el flujo de combustible.

Este grifo se encarga de controlar el flujo de combustible desde el tanque hasta el carburador.","Está en el lateral del motor. Posiciones: ON, RES y OFF.","Grifo de combustible
desde el tanque hasta el carburador, este tiene 3 posiciones.
ON:
cantidad sea mayor a 1,2 litros, cuando la cantidad sea
menor a la mencionada la motocicleta se apagará.
Tapa del tanque de combustible
Para abrir la tapa del depósito de combustible, inserte
RES:
la llave en la cerradura y gírela hacia la derecha y
es menor a 1,2 litros, debe abastecer combustible lo
levante la tapa del tanque de combustible.
antes posible.
La tapa se cierra empujándola hacia abajo.
OFF:
. 17..."
cuales son las especificaciones de la bateria ,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,0.75,"The score is 0.75 because although the majority of the response addressed the question about battery specifications, the statement '¡Hola!' added irrelevant enthusiasm to the output, preventing it from being perfectly relevant.",0.75,"The score is 0.75 because irrelevant nodes like 'La garantía de su motocicleta BAJAJ cuenta con una garantía de 6 meses o 6.000 km...' and a general manual table are ranked lower than relevant nodes that provide specific information about the battery's specifications, such as 'especificaciones técnicas' or 'Tipo de Batería'.","¡Hola!

Según la información de garantía de la batería que tengo, cada Centro de Servicio UMA registra la siguiente información en la hoja de vida de tu Bajaj Boxer CT100 KS:

*   Fecha de Venta
*   Marca
*   Referencia
*   Serial
*   Tipo de Batería
*   Placa
*   Voltaje

Además, la batería de tu motocicleta BAJAJ cuenta con una garantía de 6 meses o 6.000 km, lo primero que ocurra a partir de la fecha de entrega.","12V, 3Ah, tipo MF (libre de mantenimiento).","GARANTÍA EN BATERÍAS: La batería de su motocicleta BAJAJ cuenta con una garantía de 6 meses o 6.000 km, lo primero que
ocurra a partir de la fecha de entrega de su motocicleta.
Cada Centro de Servicio UMA registrará la siguiente información de la batería en la hoja de vida de
su motocicleta garantizando así una adecuada trazabilidad y transparencia al cliente en el momento
de evaluar una solicitud de garantía:
INFORMACIÓN DE GARANTÍA DE LA BATERÍA
Fecha de Venta
Marca
Referencia
Serial
Tipo de B..."
cuantas marchas tiene la moto,1.0,"The score is 1.00 because there are no recorded contradictions, indicating a perfect alignment between the actual output and the retrieval context.",0.5,The score is 0.50 because the model misfired and responded with an irrelevant greeting ('¡Hola!') that has no bearing on the original input about the number of gears in a specific motorcycle model.,0,"The score is 0.00 because all nodes are deemed irrelevant, as they discuss unrelated topics such as oil types and motorcycle driving techniques, making them unnecessary for arriving at the expected output about the number of gears or velocities on a moto.","¡Hola!

Lamentablemente, no tengo la información específica sobre la cantidad de marchas que tiene la Bajaj Boxer CT100 KS en los documentos que me has proporcionado.",Tiene 4 velocidades.,"Aceite de Motor
• p. 56
• ¿Cómo Conducir tu Motocicleta? p. 24
• p. 57
• P. 26
• p. 58
• p. 30
• p. 58
• Almacenamiento de la Motocicleta ............................................ p. 34

diferentes velocidades, clima, gasolina, etc.), puede generar distintos sonidos y/o vibraciones, las cuales
son característicos de cada modelo y no constituyen indicios de ningún problema en la motocicleta. Estos
sonidos y vibraciones, incluso pueden variar entre motocicletas del mismo modelo y están dados po..."
cada cuanto debo realizarle un mantenimiento preventivo o uno correctivo,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,1.0,"The score is 1.00 because the answer directly addresses the question of how often maintenance should be performed, making it highly relevant to the input.",1.0,"The score is 1.00 because all 'yes' nodes are ranked higher than irrelevant nodes, with the first node being a perfect match for the input ('maintenance preventivo') and the second node providing relevant information about maintenance timing.","¡Hola!

Para tu Bajaj Boxer CT100 KS, te recomiendo realizar los mantenimientos preventivos según el siguiente esquema:

*   **Revisión inicial:** 500 - 750 km (primeros 15 a 30 días)
*   **Revisión periódica:** Cada 5.000 - 5.500 km o cada tres meses.

Es importante realizar estas revisiones en los Centros de Servicio UMA dentro de los tiempos estipulados para mantener la garantía de tu moto. Recuerda que la mano de obra es gratuita en las revisiones de 500, 5.000 y 10.000 km.",Preventivo cada 5.000 km. Correctivo depende del desgaste. Es recomendable hacerlo en centros UMA.,"PREGUNTAS FRECUENTES
¿Porqué son importantes • Son los que garantizan la calidad, seguridad e idoneidad de la motocicleta. En esos
las revisiones de mantenimientos realizamos ajustes a diferentes sistemas de la motocicleta y además
mantenimiento preventivo? recomendamos el cambio de algunas partes debido al desgaste normal por el uso
frecuente, el cambio de estas no corresponden a fallas en la motocicleta, por el
Para resumir son dos los factores que
contrario se realizan con el fin de mantenerl..."
