question,faithfulness_score,faithfulness_reason,answer_relevancy_score,answer_relevancy_reason,contextual_recall_score,contextual_recall_reason,contextual_precision_score,contextual_precision_reason,answer,ground_truth,contexts
cual es el torque y potencia maxima que tiene la moto,1.0,"The faithfulness score of 1.00 indicates that the actual output perfectly aligns with the retrieval context, as there are no contradictions present.",0.5,"The score is 0.50 because it does not provide specific values for power and torque of the moto, which was the original input.",0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,0.5833333333333333,"The contextual precision score is 0.58 because even though relevant nodes (rank 2 and 3) are present, they do not provide the specific details about the torque and maximum power of the motor as requested, while the irrelevant node (rank 1) discusses safe driving practices which may not be directly related to the motor's performance.","¡Hola!  

De acuerdo a la información que tengo sobre la Bajaj Boxer CT100 KS,  el documento que proporcionaste no menciona los valores exactos de potencia y torque. 

¿Te gustaría que buscara esa información en otras fuentes? 

",Potencia: 7.59 HP a 7.500 RPM. Torque: 8.24 Nm a 5.500 RPM.,"de manera segura. • Revise la tensión de la cadena de 20 a 30 mm y
• Lleve siempre los documentos de la motocicleta que esté bien lubricada.
vigentes y una licencia válida de conducción. • Funcionamiento de todas las luces y bocina.
• Evite manejar sobre arena suelta o piedras, • Movimiento suave de la dirección sin restricciones.
donde el vehículo podría patinar. • Juego libre en la palanca de embrague de 2 a 3 mm.
• Sujete adecuadamente la ropa suelta mientras • Regreso del estante central y l..."
cada cuanto es recomendable cambiarle el aceite a la moto y cuanto debo echarle,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,1.0,The score is 1.00 because it accurately answers the question 'cada cuanto es recomendable cambiarle el aceite a la moto y cuanto debo echarle'.,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,1.0,"The contextual precision score is 1.00 because all relevant nodes (node 1) are ranked at the top, and irrelevant nodes (nodes 2-4) are correctly ranked lower.","¡Hola! 

Para saber con exactitud cada cuánto cambiar el aceite y la cantidad a echar, te recomiendo consultar la tabla de mantenimiento periódico que viene con tu moto.  

En esa tabla encontrarás los intervalos de cambio de aceite específicos para la Bajaj Boxer CT100 KS, así como la cantidad recomendada. 

","Cada 5.000 a 5.500 km o cada 3 meses. Cantidad: 1.000 cc (cambio normal), 1.100 cc (con desensamble).","un desgaste acelerado del kit de arrastre. de cambio de aceite para dar una larga vida a los componentes del motor.
Lubrique la cadena por lo menos cada 500 km si usa Para más detalles consulte cuadro de mantenimiento periódico.
la motocicleta en zonas muy húmedas o polvorientas.
. 22 .

Cadena - Aceite de Motor
IMPORTANTE
Antes de encender el moto
aceite 4T es el adecuado. Ver sección: ACEITE MOTOR
ACEITE DEL MOTOR: Revisar cada semana
• Mantenga el nivel de aceite entre
la marca superior y la ..."
cual es la elongadura recomendada de la cadena y cada cuanto debo cambiar el kit de arrastre,1.0,The faithfulness score is 1.00 because there are no contradictions found between the actual output and the retrieval context.,0.5,The score is 0.50 because it does not provide the recommended chain elongation and change frequency for a specific motorcycle model (Bajaj Boxer CT100 KS) as per the input.,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,"¡Hola! 

La información sobre la elongación recomendada de la cadena y la frecuencia de cambio del kit de arrastre para la Bajaj Boxer CT100 KS no está disponible en el documento que me has proporcionado. 

Te recomiendo consultar el manual de usuario de tu moto o buscar esa información en el sitio web oficial de Bajaj. 

",Holgura recomendada entre 20 y 30 mm. Lubricar cada 500 km. Cambiar el kit cuando haya desgaste visible.,"la marca superior (C) y la marca inferior (D).
NOTA: El no realizar este proceso o mantener la
holgura de la cadena fuera de estos límites generará Es muy importante seguir la frecuencia recomendada
un desgaste acelerado del kit de arrastre. de cambio de aceite para dar una larga vida a los componentes del motor.
Lubrique la cadena por lo menos cada 500 km si usa Para más detalles consulte cuadro de mantenimiento periódico.
la motocicleta en zonas muy húmedas o polvorientas.
. 22 .

banda elásti..."
en que parte puedo encontrar la bateria de la moto,1.0,"The faithfulness score of 1.00 indicates that the actual output perfectly aligns with the retrieval context, demonstrating complete accuracy and adherence to the provided information.",1.0,The score is 1.00 because the provided answer directly addresses the question about finding the battery of a motorbike.,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,0.8333333333333333,"The contextual precision score of 0.83 indicates that 83% of the top-ranked responses are relevant to the input 'en que parte puedo encontrar la bateria de la moto'. The first response directly answers the question, however, the second and third responses are irrelevant nodes. The second response mentions a battery but not the one for the motorbike, while the third response discusses a tool kit located near the battery, but does not explicitly state where the battery is found.","¡Hola! 

La batería de la Bajaj Boxer CT100 KS se encuentra ubicada en el interior de la cubierta izquierda.  
",Está ubicada en el interior de la cubierta lateral izquierda.,"veces para cubrir la pared del cilindro con el
aceite e instalar de nuevo la bujía. A. Retire la batería y colóquela
5. Coloque la motocicleta en una plataforma en una zona bien ventilada.
de modo que las ruedas no toquen el suelo. B. Antes de volver a usar la moto:
no pintadas para prevenir la oxidación. • Lleve la batería a recargar .
7. Lubrique los cables de control. • Aplique vaselina en los terminales de la batería
8. Cubra la moto perfectamente. (aplica solo a determinados modelos).
9. As..."
en que parte puedo encontrar el serial del chasis y el del motor de la moto,1.0,The faithfulness score is 1.00 because there are no contradictions found between the actual output and the retrieval context.,1.0,The score is 1.00 because it directly answers the question about finding the chassis and engine serial numbers for a motorcycle.,1.0,The score is 1.00 because all the sentences in the expected output can be attributed to the first node in the retrieval context.,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,"¡Hola! 

De acuerdo con la información que tengo, el número de VIN (chasis) se encuentra en la parte frontal derecha del chasis, justo en frente del tanque de combustible. El número de motor se ubica en la parte inferior del motor, del lado izquierdo, justo debajo de la palanca de cambios. 



","VIN: parte frontal derecha del chasis. Motor: parte inferior izquierda, debajo de la palanca de cambios.","Identificación de
la Motocicleta su motocicleta BAJAJ CT-100 ES particular de otros del mismo modelo y el tipo.
El número de VIN se ubica en la parte frontal derecha El número de Motor se ubica en la parte inferior del motor
del chasis, justo en frente del tanque de combustible del lado izquierdo, justo debajo de la palanca de cambios.
. 13 .

Tablas:

Identificación de Los números de Motor y de VIN (Chasis) se utilizan para registrar e identificar la motocicleta
la Motocicleta su motocicleta BA..."
cuanta gasolina le cabe a la moto,0.0,"Error: 1 validation error for FaithfulnessVerdict
verdict
  Field required [type=missing, input_value={'verdit': 'yes'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing",1.0,"The score is 1.00 as the response directly addresses the question about how much gasoline a motorcycle can hold, without any irrelevant statements.",1.0,The score is 1.00 because all sentences in the expected output ('Capacidad total: 10.5 litros.' and 'Reserva: 2.3 litros.') are directly supported by corresponding information found in the retrieval context.,1.0,"The contextual precision score is 1.00 because the relevant node (rank 1) providing the correct answer to the question 'cuanta gasolina le cabe a la moto' is ranked first, while the irrelevant nodes (rank 2 and beyond) are not present in the provided retrieval contexts.","¡Hola! 

De acuerdo a la información que tengo, el tanque de combustible de la Bajaj Boxer CT100 KS tiene capacidad para más de 1.2 litros de gasolina. 



",Capacidad total: 10.5 litros. Reserva: 2.3 litros.,"Grifo de combustible
desde el tanque hasta el carburador, este tiene 3 posiciones.
ON:
cantidad sea mayor a 1,2 litros, cuando la cantidad sea
menor a la mencionada la motocicleta se apagará.
Tapa del tanque de combustible
Para abrir la tapa del depósito de combustible, inserte
RES:
la llave en la cerradura y gírela hacia la derecha y
es menor a 1,2 litros, debe abastecer combustible lo
levante la tapa del tanque de combustible.
antes posible.
La tapa se cierra empujándola hacia abajo.
OFF:
. 17..."
en donde se encuentra la llave de gasolina de la moto,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,1.0,The score is 1.00 because it correctly answers the question about the location of a motorcycle's gas key.,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,"¡Hola! 

La llave de gasolina de la Bajaj Boxer CT100 KS se utiliza para controlar el flujo de combustible desde el tanque hasta el carburador.  
","Está en el lateral del motor. Posiciones: ON, RES y OFF.","Identificación de
la Motocicleta su motocicleta BAJAJ CT-100 ES particular de otros del mismo modelo y el tipo.
El número de VIN se ubica en la parte frontal derecha El número de Motor se ubica en la parte inferior del motor
del chasis, justo en frente del tanque de combustible del lado izquierdo, justo debajo de la palanca de cambios.
. 13 .

Tablas:

Grifo de combustible
desde el tanque hasta el carburador, este tiene 3 posiciones.
ON:
cantidad sea mayor a 1,2 litros, cuando la cantidad sea
me..."
cuales son las especificaciones de la bateria,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,0.3333333333333333,The score is 0.33 because it discusses the warranty of the battery instead of its specifications as asked by the input.,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,0,"The contextual precision score is 0.00 because the first node (rank 1) does not provide relevant battery specifications, the second node (rank 2) lacks explicit information about the voltage, ampere hours (Ah), or type (MF) of the battery, and the third node (rank 3) only discusses warranty duration without providing battery specifications.","¡Hola! 

De acuerdo con la información que tengo, la batería de la Bajaj Boxer CT100 KS tiene una garantía de 6 meses o 6.000 km, lo primero que ocurra a partir de la fecha de entrega de la moto. 

Para conocer especificaciones como el tipo de batería, voltaje y referencia, te recomiendo revisar la ""INFORMACIÓN DE GARANTÍA DE LA BATERÍA"" que viene con tu moto. 



","12V, 3Ah, tipo MF (libre de mantenimiento).","Batería Bujía
La batería se encuentra ubicada en • Quite la bujía usando la
el interior de la cubierta izquierda. herramienta adecuada.
Cuide del Medio Ambiente entregando • Limpie la bujía.
la batería utilizada al centro de • Ajuste la calibración doblando
servicio UMA para su correcta el electrodo lateral con cuidado.
REFERENCIA
Calibración: 0,6 - 0,7 mm
• Cuando la batería está Bujías : Mico UR 3 AC o
descargada, llévela a recargar. Champion PRZ 9 HC
LLANTAS
PRECAUCIÓN:
Mantenga la presión ad..."
cuantas marchas tiene la moto,1.0,The faithfulness score is 1.00 because there are no identified contradictions between the actual output and the retrieval context.,0.0,"The score is 0.00 because it does not provide information about the number of gears on the motorcycle, which was the question asked.",0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,0,"The contextual precision score is 0.00 because the first and second retrieval nodes, ranked 1 and 2 respectively, are irrelevant to the input 'cuantas marchas tiene la moto'. The first node discusses motorcycle identification and registration while the second node does not provide information about the number of gears on the motorcycle.","¡Hola! 

La información sobre el número de marchas de la Bajaj Boxer CT100 KS no está disponible en el contexto que me has proporcionado. 



",Tiene 4 velocidades.,"Identificación de
la Motocicleta su motocicleta BAJAJ CT-100 ES particular de otros del mismo modelo y el tipo.
El número de VIN se ubica en la parte frontal derecha El número de Motor se ubica en la parte inferior del motor
del chasis, justo en frente del tanque de combustible del lado izquierdo, justo debajo de la palanca de cambios.
. 13 .

Tablas:

Identificación de Los números de Motor y de VIN (Chasis) se utilizan para registrar e identificar la motocicleta
la Motocicleta su motocicleta BA..."
cada cuanto debo realizarle un mantenimiento preventivo o uno correctivo,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,1.0,"The score is 1.00 because the response directly addresses the question about maintenance (preventive or corrective) for a car, making it highly relevant.",0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,0.8055555555555555,"The contextual precision score of 0.81 indicates that relevant nodes (nodes with verdict 'yes') are ranked higher than irrelevant nodes (nodes with verdict 'no'). However, the score could be higher because the second node, which is an irrelevant node, appears in the second position, slightly affecting the precision. Despite this, the ranking of relevant nodes is generally accurate and well-ordered.","¡Hola! 

De acuerdo con la tabla de mantenimiento que te proporcioné, la frecuencia recomendada para un mantenimiento preventivo en la Bajaj Boxer CT100 KS es cada 5.000 km. 



",Preventivo cada 5.000 km. Correctivo depende del desgaste. Es recomendable hacerlo en centros UMA.,"PREGUNTAS FRECUENTES
¿Porqué son importantes • Son los que garantizan la calidad, seguridad e idoneidad de la motocicleta. En esos
las revisiones de mantenimientos realizamos ajustes a diferentes sistemas de la motocicleta y además
mantenimiento preventivo? recomendamos el cambio de algunas partes debido al desgaste normal por el uso
frecuente, el cambio de estas no corresponden a fallas en la motocicleta, por el
Para resumir son dos los factores que
hacen que los mantenimiento preventivos
sean ..."
