question,faithfulness_score,faithfulness_reason,answer_relevancy_score,answer_relevancy_reason,contextual_precision_score,contextual_precision_reason,answer,ground_truth,contexts
cual es el torque y potencia maxima que tiene la moto,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,0.3333333333333333,"The score is 0.33 because the irrelevant nodes (nodes 1 and 2) do not provide relevant information about the motorcycle's performance, while the first 'yes' node (node 3) specifically mentions maximum power output and torque, which matches the expected output.","Hola!

Según la información que tengo disponible, la Bajaj Boxer CT 100 KS destaca por su potencia líder en su clase y su motor de 4 tiempos refrigerado por aire natural. Sin embargo, no cuento con los datos específicos de torque y potencia máxima en este momento.",Potencia: 7.59 HP a 7.500 RPM. Torque: 8.24 Nm a 5.500 RPM.,"de manera segura. • Revise la tensión de la cadena de 20 a 30 mm y
• Lleve siempre los documentos de la motocicleta que esté bien lubricada.
vigentes y una licencia válida de conducción. • Funcionamiento de todas las luces y bocina.
• Evite manejar sobre arena suelta o piedras, • Movimiento suave de la dirección sin restricciones.
donde el vehículo podría patinar. • Juego libre en la palanca de embrague de 2 a 3 mm.
• Sujete adecuadamente la ropa suelta mientras • Regreso del estante central y l..."
cada cuanto es recomendable cambiarle el aceite a la moto y cuanto debo echarle,0.75,"The score is 0.75 because the actual output may not be entirely faithful to the retrieval context due to the mismatch between the two, specifically the absence of information about the importance of changing oil for a Bajaj Boxer CT100 KS in the retrieval context.",0.75,"The score is 0.75 because one of the statements in the actual output mentions the exact amount of oil, which is not relevant to addressing the input's question about how often and how much to change the oil.",0.8333333333333333,"The score is 0.83 because although irrelevant nodes are ranked lower than relevant ones, there's still room for improvement as the top 'no' verdict could potentially relate to other aspects of motorcycle maintenance.","¡Hola!

Es muy importante cambiar el aceite de tu Bajaj Boxer CT100 KS según la tabla de mantenimiento periódico para asegurar una larga vida a los componentes del motor. Revisa el nivel de aceite cada semana y asegúrate de que esté entre la marca superior e inferior de la mirilla.

En cuanto a la cantidad exacta de aceite que debes echarle, esa información no está en los documentos que tengo a la mano. Te recomiendo consultar el manual del propietario o un taller especializado para obtener ese dato preciso y asegurarte de que tu moto funcione de manera óptima.","Cada 5.000 a 5.500 km o cada 3 meses. Cantidad: 1.000 cc (cambio normal), 1.100 cc (con desensamble).","un desgaste acelerado del kit de arrastre. de cambio de aceite para dar una larga vida a los componentes del motor.
Lubrique la cadena por lo menos cada 500 km si usa Para más detalles consulte cuadro de mantenimiento periódico.
la motocicleta en zonas muy húmedas o polvorientas.
. 22 .

Cadena - Aceite de Motor
IMPORTANTE
Antes de encender el moto
aceite 4T es el adecuado. Ver sección: ACEITE MOTOR
ACEITE DEL MOTOR: Revisar cada semana
• Mantenga el nivel de aceite entre
la marca superior y la ..."
cual es la elongadura recomendada de la cadena y cada cuanto debo cambiar el kit de arrastre,0.75,"The score is 0.75 because the only contradiction found states that the actual output does not mention anything about maintaining chain slack, which suggests a minor discrepancy between the output and retrieval context.",0.5,"The score is 0.50 because it only partially addresses the input, with irrelevant statements like general greetings and maintenance guidance that don't directly answer the question about elongation frequency.",0.5833333333333333,"The score is 0.58 because although the relevant nodes (nodes 2 and 3) are ranked correctly, irrelevant nodes (node 1) should be ranked lower due to their lack of direct relevance to the recommended elongation and kit change frequency.","¡Hola!

Según el contexto proporcionado, es muy importante mantener la holgura de la cadena dentro de los límites recomendados para evitar un desgaste acelerado del kit de arrastre. No se especifica la elongación recomendada de la cadena en milímetros, pero sí se enfatiza la importancia de revisar, limpiar, ajustar y engrasar la cadena de transmisión regularmente.

Para más detalles sobre la holgura específica y la frecuencia de cambio del kit de arrastre, te recomiendo consultar el cuadro de mantenimiento periódico en el manual del propietario o acudir a un taller especializado Bajaj.",Holgura recomendada entre 20 y 30 mm. Lubricar cada 500 km. Cambiar el kit cuando haya desgaste visible.,"la marca superior (C) y la marca inferior (D).
NOTA: El no realizar este proceso o mantener la
holgura de la cadena fuera de estos límites generará Es muy importante seguir la frecuencia recomendada
un desgaste acelerado del kit de arrastre. de cambio de aceite para dar una larga vida a los componentes del motor.
Lubrique la cadena por lo menos cada 500 km si usa Para más detalles consulte cuadro de mantenimiento periódico.
la motocicleta en zonas muy húmedas o polvorientas.
. 22 .

banda elásti..."
en que parte puedo encontrar la bateria de la moto,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,1.0,"The score is 1.00 because the answer directly addresses the question about finding the battery of a motorcycle, and all content provided is relevant to this topic.",1.0,"The score is 1.00 because all relevant nodes ('yes' verdict) are correctly ranked higher than irrelevant nodes ('no' verdict), specifically, the first node provides clear instructions on where to find the battery, while subsequent nodes provide general information without specific details about battery location.","¡Hola!

En la Bajaj Boxer CT100 KS, la batería se encuentra ubicada en el interior de la cubierta izquierda.",Está ubicada en el interior de la cubierta lateral izquierda.,"veces para cubrir la pared del cilindro con el
aceite e instalar de nuevo la bujía. A. Retire la batería y colóquela
5. Coloque la motocicleta en una plataforma en una zona bien ventilada.
de modo que las ruedas no toquen el suelo. B. Antes de volver a usar la moto:
no pintadas para prevenir la oxidación. • Lleve la batería a recargar .
7. Lubrique los cables de control. • Aplique vaselina en los terminales de la batería
8. Cubra la moto perfectamente. (aplica solo a determinados modelos).
9. As..."
en que parte puedo encontrar el serial del chasis y el del motor de la moto,0.0,"The score is 0.00 because the actual output provides incorrect information about the location of the VIN number and Motor number, contradicting the expected locations mentioned in the retrieval context.",0.8,"The score is 0.80 because the model was able to provide some relevant information about finding serial numbers, but the irrelevant statement about greetings is a notable distraction.",1.0,"The score is 1.00 because irrelevant nodes are correctly ranked lower than relevant ones, as evident from the first two retrieval contexts providing accurate information about finding the serial numbers, and the third node being useless in this context.","¡Hola!

Para ubicar los seriales de tu Bajaj Boxer CT100 KS, aquí te indico dónde encontrarlos:

*   **Número de VIN (Chasis):** Se encuentra en la parte frontal derecha del chasis, justo en frente del tanque de combustible.
*   **Número de Motor:** Lo encontrarás en la parte inferior del motor, del lado izquierdo, justo debajo de la palanca de cambios.

Estos números son importantes para registrar e identificar tu motocicleta.","VIN: parte frontal derecha del chasis. Motor: parte inferior izquierda, debajo de la palanca de cambios.","Identificación de
la Motocicleta su motocicleta BAJAJ CT-100 ES particular de otros del mismo modelo y el tipo.
El número de VIN se ubica en la parte frontal derecha El número de Motor se ubica en la parte inferior del motor
del chasis, justo en frente del tanque de combustible del lado izquierdo, justo debajo de la palanca de cambios.
. 13 .

Tablas:

Identificación de Los números de Motor y de VIN (Chasis) se utilizan para registrar e identificar la motocicleta
la Motocicleta su motocicleta BA..."
cuanta gasolina le cabe a la moto,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,0.6666666666666666,"The score is 0.67 because the actual output contains an irrelevant statement that does not provide specific information about the fuel tank capacity of the Bajaj Boxer CT100 KS, instead suggesting seeking alternative sources, which affects the relevance to the input question 'cuanta gasolina le cabe a la moto'.",0,"The contextual precision score is 0.00 because all four nodes in retrieval contexts have 'no' verdict, indicating that none of these irrelevant topics are ranked lower than relevant ones, which doesn't happen in our case since they're all ranked higher. The reasons for these 'no' verdicts mainly relate to the discussion about fuel systems and motorcycle components not providing information on gasoline capacity.","¡Hola!

La información sobre la capacidad del tanque de gasolina de la Bajaj Boxer CT100 KS no está disponible en los documentos que tengo a la mano. Te recomiendo consultar el manual del propietario o un taller especializado para obtener ese dato preciso.",Capacidad total: 10.5 litros. Reserva: 2.3 litros.,"Grifo de combustible
desde el tanque hasta el carburador, este tiene 3 posiciones.
ON:
cantidad sea mayor a 1,2 litros, cuando la cantidad sea
menor a la mencionada la motocicleta se apagará.
Tapa del tanque de combustible
Para abrir la tapa del depósito de combustible, inserte
RES:
la llave en la cerradura y gírela hacia la derecha y
es menor a 1,2 litros, debe abastecer combustible lo
levante la tapa del tanque de combustible.
antes posible.
La tapa se cierra empujándola hacia abajo.
OFF:
. 17..."
en donde se encuentra la llave de gasolina de la moto,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,1.0,"The score is 1.00 because the answer directly addresses the user's question about the location of the gasoline key on a motorcycle, making it highly relevant.",1.0,"The contextual precision score is 1.00 because all relevant nodes ('yes' verdict) are ranked higher than irrelevant nodes, with the first 'no' verdict explaining that a table unrelated to finding the gasoline key shouldn't be prioritized over the correct information.","¡Hola!

En la Bajaj Boxer CT100 KS, la llave de gasolina (grifo de combustible) se encarga de controlar el flujo de combustible desde el tanque hasta el carburador y tiene 3 posiciones:

*   **ON:** Permite el flujo de combustible siempre que la cantidad sea mayor a 1,2 litros. Si es menor, la moto se apagará.
*   **RES:** Permite el flujo de combustible cuando la cantidad es menor a 1,2 litros. En esta posición, debes abastecer combustible lo antes posible.
*   **OFF:** Restringe el flujo de combustible.","Está en el lateral del motor. Posiciones: ON, RES y OFF.","Identificación de
la Motocicleta su motocicleta BAJAJ CT-100 ES particular de otros del mismo modelo y el tipo.
El número de VIN se ubica en la parte frontal derecha El número de Motor se ubica en la parte inferior del motor
del chasis, justo en frente del tanque de combustible del lado izquierdo, justo debajo de la palanca de cambios.
. 13 .

Tablas:

Grifo de combustible
desde el tanque hasta el carburador, este tiene 3 posiciones.
ON:
cantidad sea mayor a 1,2 litros, cuando la cantidad sea
me..."
cuales son las especificaciones de la bateria,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,0.4,"The score is 0.40 because the actual output contains statements that do not provide specifications about the battery, instead focusing on its location and cautioning against potential damage, which are irrelevant to the input's request.",0,"The score is 0.00 because the first node (in retrieval contexts) with a 'no' verdict correctly ranks lower than irrelevant nodes that don't mention specifications, as seen in the reason: ""This context doesn't mention specifications, only talks about battery maintenance and disposal."".","¡Hola!

Según la información disponible, la batería de tu Bajaj Boxer CT100 KS se encuentra ubicada en el interior de la cubierta izquierda.

Además, la batería cuenta con una garantía de 6 meses o 6.000 km, lo primero que ocurra a partir de la fecha de entrega de tu motocicleta.

Cada Centro de Servicio UMA registrará la siguiente información de la batería en la hoja de vida de tu motocicleta:

*   Fecha de Venta
*   Marca
*   Referencia
*   Serial
*   Tipo de Batería
*   Placa
*   Voltaje

Es importante que no conduzcas la moto con la batería desconectada o averiada, ya que esto puede provocar daños en los componentes eléctricos/electrónicos. Si la batería está descargada, te recomiendo llevarla a recargar.","12V, 3Ah, tipo MF (libre de mantenimiento).","Batería Bujía
La batería se encuentra ubicada en • Quite la bujía usando la
el interior de la cubierta izquierda. herramienta adecuada.
Cuide del Medio Ambiente entregando • Limpie la bujía.
la batería utilizada al centro de • Ajuste la calibración doblando
servicio UMA para su correcta el electrodo lateral con cuidado.
REFERENCIA
Calibración: 0,6 - 0,7 mm
• Cuando la batería está Bujías : Mico UR 3 AC o
descargada, llévela a recargar. Champion PRZ 9 HC
LLANTAS
PRECAUCIÓN:
Mantenga la presión ad..."
cuantas marchas tiene la moto,0.5,"The score is 0.50 because the actual output contradicts the retrieval context by mentioning gears and transmission, which are not mentioned in the original context.",0.5,"The score is 0.50 because it's heavily impacted by the irrelevant statement 'This statement is not related to the number of gears in the motorcycle, but rather a greeting.' which is unrelated to the input question about the number of gears.",0,"The score is 0.00 because irrelevant nodes (node 1: Motocicleta su motocicleta BAJAJ CT-100 ES particular de otros del mismo modelo y el tipo, node 2: manual or guide for the motorcycle) were not ranked lower than relevant ones.","¡Hola!

La Bajaj Boxer CT100 KS tiene **4 marchas**.",Tiene 4 velocidades.,"Identificación de
la Motocicleta su motocicleta BAJAJ CT-100 ES particular de otros del mismo modelo y el tipo.
El número de VIN se ubica en la parte frontal derecha El número de Motor se ubica en la parte inferior del motor
del chasis, justo en frente del tanque de combustible del lado izquierdo, justo debajo de la palanca de cambios.
. 13 .

Tablas:

Identificación de Los números de Motor y de VIN (Chasis) se utilizan para registrar e identificar la motocicleta
la Motocicleta su motocicleta BA..."
cada cuanto debo realizarle un mantenimiento preventivo o uno correctivo,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,0.8333333333333334,"The score is 0.83 because, although there are no explicitly irrelevant statements, the actual output could potentially explore other maintenance types beyond what was asked in the input, which would prevent it from being a perfect match.",0.5,"The score is 0.50 because irrelevant nodes like 'PREGUNTAS FRECUENTES' and 'Una vez finalice su garantía...' are correctly ranked lower than relevant nodes like those mentioning maintenance schedules and intervals, but some irrelevant nodes are still ranking higher than they should.","¡Hola!

En cuanto al mantenimiento de tu Bajaj Boxer CT100 KS, te recomiendo lo siguiente:

*   **Mantenimiento Preventivo:** Realiza el mantenimiento preventivo cada 5.000 km. Esto te ayudará a mantener tu moto en óptimas condiciones y prevenir problemas mayores. Revisa el nivel de aceite semanalmente y asegúrate de que esté en el nivel adecuado.
*   **Mantenimiento Correctivo:** El mantenimiento correctivo se realiza cuando surge un problema o avería. Si notas algo inusual en el funcionamiento de tu moto, como ruidos extraños, vibraciones o pérdida de potencia, llévala a un Centro de Servicio UMA lo antes posible.

Recuerda que mantener tu moto con el Aceite Genuino BAJAJ (BGO) y en el nivel adecuado es fundamental para su buen funcionamiento.",Preventivo cada 5.000 km. Correctivo depende del desgaste. Es recomendable hacerlo en centros UMA.,"PREGUNTAS FRECUENTES
Aviso:
El procedimiento detallado de cada revisión periódica se especifica Una vez terminado el período de Garantía ¿puedo
en el capítulo de Programa de Mantenimiento del manual del seguir asistiendo a los Centros de Servicio UMA?
propietario, consulte al inicio del manual. Una vez finalice su garantía le recomendamos que siga llevando
su motocicleta a mantenimiento cada 5.000 km; cerciorándose
¿El derecho a la garantía que tengo como usuario BAJAJ, es siempre que el aceite ..."
