question,faithfulness_score,faithfulness_reason,answer_relevancy_score,answer_relevancy_reason,contextual_precision_score,contextual_precision_reason,answer,ground_truth,contexts
cual es el torque y potencia maxima que tiene la moto,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,1.0,"The score is 1.00 as the response provided correctly answered the question about the maximum torque and power of a motorcycle, with no irrelevant statements in the output.",0.7185897435897435,"The contextual precision score is 0.72 because though most of the relevant nodes (nodes with 'verdict': 'yes') are ranked higher than irrelevant nodes, some irrelevant nodes (nodes with 'verdict': 'no') are still ranked within the top 5 results. Specifically, the node ranked 6th and 9th provide indirectly related information that could potentially confuse the user, causing a decrease in precision.","¡Hola! Con gusto te proporciono la información sobre el torque y la potencia máxima de la Bajaj Boxer CT100 KS:

*   **Potencia máxima:** 7.59 HP a 7500 RPM
*   **Torque máximo:** 8.24 NM a 5500 RPM

Espero que esta información te sea de utilidad. Si tienes alguna otra pregunta, no dudes en consultarme.",Potencia: 7.59 HP a 7.500 RPM. Torque: 8.24 Nm a 5.500 RPM.,"['CONTAMOS CON EL\nRECORDDEMOTOSVENDIDAS\nOrgullosamente líderes en Colombia. Boxer establece un récord en la industria, con la moto\nmás vendida en la historia de Colombia: la BOXER CT100. Un testimonio de confianza y\nrendimiento que nos impulsa a seguir brindando lo mejor en cada viaje. ¡Únete a la leyenda\ncon una BOXER!\n651.905\nBOXER CT100 VENDIDAS A LA FECHA, DESDE 1998\nCONÓCELA A FONDO\nDETALLESTÉCNICOSDELABOXERCT100KS\nCatálogo 5 Manual 5\nMOTOR\nMOTOR\nMotor: 4 tiempos, Monocilíndric..."
cada cuanto es recomendable cambiarle el aceite a la moto y cuanto debo echarle,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,1.0,"The score is 1.00 because the answer directly addresses the question about changing motor oil and its frequency, making it highly relevant.",0.9166666666666666,"The contextual precision score is 0.92 because only 80% (3 out of 4) of the relevant nodes are ranked higher than irrelevant nodes. For instance, the node about the type of engine oil ('Cadena - Aceite de Motor') ranks higher than the node that provides the correct answer about changing the oil frequency and quantity.","¡Hola! Para tu Bajaj Boxer CT100 KS, te recomiendo lo siguiente:

*   **Frecuencia de cambio de aceite:** Cada 5.000 km a 5.500 km o cada tres meses, lo que ocurra primero.
*   **Cantidad de aceite:**
    *   Cambio: 1.000 cc
    *   Desensamble: 1.100 cc

Además, te recomiendo usar Aceite Genuino BAJAJ (BGO) para asegurar el buen funcionamiento de tu moto. ¡Espero que esta información te sea útil!","Cada 5.000 a 5.500 km o cada 3 meses. Cantidad: 1.000 cc (cambio normal), 1.100 cc (con desensamble).","['continuación se debe enjuagar.\nOTRAS •Se aconseja, sobre todo para condiciones de funcionamiento adversas, proteger la motocicleta con ceras o\nRECOMENDACIONES lubricantes adecuados. Su Concesionario podrá aconsejarle acerca de los mismos.\n•Si va a guardar la motocicleta durante un tiempo, consulte con su Centro de Servicio UMA para las\nrecomendaciones indicadas.\n•Recuerde agendar cita en su Centro de Servicio UMA más cercano para los cambios periódicos de aceite,\nmantenimientos preventiv..."
cual es la elongadura recomendada de la cadena y cada cuanto debo cambiar el kit de arrastre,1.0,The faithfulness score is 1.00 because there are no contradictions found in the actual output.,1.0,The score is 1.00 because it directly addresses the question about recommended length of the chain and how often to change the hitch. No irrelevant statements were present.,0.0,"Error: 1 validation error for ContextualPrecisionVerdict
verdict
  Field required [type=missing, input_value={'verduct': 'yes', 'reaso...e the drive chain kit.""}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing","¡Hola! Con gusto te ayudo con tu pregunta sobre la cadena de tu Bajaj Boxer CT100 KS:

*   **Elongación recomendada de la cadena (holgura):** Debe estar entre 20 - 30 mm.
*   **Frecuencia de cambio del kit de arrastre:** No hay una frecuencia específica definida. El desgaste del kit de arrastre depende de las condiciones de uso y mantenimiento. Es importante revisar periódicamente la tensión y lubricación de la cadena para prolongar su vida útil.

Espero que esta información te sea útil. Si tienes alguna otra pregunta, no dudes en consultarme.",Holgura recomendada entre 20 y 30 mm. Lubricar cada 500 km. Cambiar el kit cuando haya desgaste visible.,"['la marca superior (C) y la marca inferior (D).\nNOTA: El no realizar este proceso o mantener la\nholgura de la cadena fuera de estos límites generará Es muy importante seguir la frecuencia recomendada\nun desgaste acelerado del kit de arrastre. de cambio de aceite para dar una larga vida a los componentes del motor.\nLubrique la cadena por lo menos cada 500 km si usa Para más detalles consulte cuadro de mantenimiento periódico.\nla motocicleta en zonas muy húmedas o polvorientas.\n. 22 .', 'un..."
en que parte puedo encontrar la bateria de la moto,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,1.0,The score is 1.00 as the response directly addresses the user's question about where to find the battery of a motorcycle.,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,"¡Hola! En tu Bajaj Boxer CT100 KS, la batería se encuentra ubicada en el interior de la cubierta izquierda.",Está ubicada en el interior de la cubierta lateral izquierda.,"['GARANTÍA EN BATERÍAS: La batería de su motocicleta BAJAJ cuenta con una garantía de 6 meses o 6.000 km, lo primero que\nocurra a partir de la fecha de entrega de su motocicleta.\nCada Centro de Servicio UMA registrará la siguiente información de la batería en la hoja de vida de\nsu motocicleta garantizando así una adecuada trazabilidad y transparencia al cliente en el momento\nde evaluar una solicitud de garantía:\nINFORMACIÓN DE GARANTÍA DE LA BATERÍA\nFecha de Venta\nMarca\nReferencia\nSeria..."
en que parte puedo encontrar el serial del chasis y el del motor de la moto,1.0,The faithfulness score is 1.00 because there are no contradictions found between the actual output and the retrieval context.,1.0,The score is 1.00 because it correctly and directly answers the question about the locations to find the chassis and engine serial numbers for a motorcycle.,1.0,"The contextual precision score is 1.00 because all relevant nodes are ranked first and second, while irrelevant nodes are ranked lower (third, fourth, and fifth). The first two nodes directly answer the question by providing information about where to find the serial numbers of the motorcycle, while the remaining nodes do not contain any relevant information.","¡Hola! Con gusto te indico dónde encontrar los seriales de tu Bajaj Boxer CT100 KS:

*   **Número de VIN (chasis):** Se ubica en la parte frontal derecha del chasis, justo en frente del tanque de combustible.
*   **Número de motor:** Se encuentra en la parte inferior del motor, del lado izquierdo, justo debajo de la palanca de cambios.

Estos números son importantes para registrar e identificar tu motocicleta. ¡Espero que esta información te sea útil!","VIN: parte frontal derecha del chasis. Motor: parte inferior izquierda, debajo de la palanca de cambios.","['Identificación de Los números de Motor y de VIN (Chasis) se utilizan para registrar e identificar la motocicleta\nla Motocicleta su motocicleta BAJAJ CT-100 KS particular de otros del mismo modelo y el tipo.\nEl número de VIN se ubica en la parte frontal derecha El número de Motor se ubica en la parte inferior del motor\ndel chasis, justo en frente del tanque de combustible del lado izquierdo, justo debajo de la palanca de cambios.\n. 13 .\n\nTablas:', 'Identificación de\nla Motocicleta su mot..."
cuanta gasolina le cabe a la moto,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,0.6666666666666666,"The score is 0.67 because while the response provided an answer to the question, it could have been more specific and detailed about the amount of gasoline that can fit in a motorcycle tank.",0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,"¡Hola! Lamentablemente, no tengo la información sobre la capacidad del tanque de gasolina de la Bajaj Boxer CT100 KS en los datos que me has proporcionado.",Capacidad total: 10.5 litros. Reserva: 2.3 litros.,"['Grifo de combustible\ndesde el tanque hasta el carburador, este tiene 3 posiciones.\nON:\ncantidad sea mayor a 1,2 litros, cuando la cantidad sea\nmenor a la mencionada la motocicleta se apagará.\nTapa del tanque de combustible\nPara abrir la tapa del depósito de combustible, inserte\nRES:\nla llave en la cerradura y gírela hacia la derecha y\nes menor a 1,2 litros, debe abastecer combustible lo\nlevante la tapa del tanque de combustible.\nantes posible.\nLa tapa se cierra empujándola hacia ab..."
en donde se encuentra la llave de gasolina de la moto,0.7142857142857143,"The score is 0.71 because although the actual output includes three positions for the fuel tap (ON, RES (Reserve), and OFF), the retrieval context only mentions two positions (ON and OFF). Additionally, the actual output suggests that the fuel tap controls the fuel flow when the fuel level is below 1.2 liters in the RES position, but this information is not present in the retrieval context.",0.5714285714285714,"The score is 0.57 because although the response provides valuable information about the motorcycle's fuel tap and its functions, it does not directly address the user's question regarding the location of the gasoline key.",0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,"¡Hola! La llave de gasolina de tu Bajaj Boxer CT100 KS no es una llave física, sino más bien una llave de paso o grifo de combustible. Este grifo se encarga de controlar el flujo de combustible desde el tanque hacia el carburador y tiene tres posiciones:

*   **ON:** Permite el flujo de combustible cuando el nivel en el tanque es superior a 1,2 litros. Si baja de este nivel, la moto se apagará.
*   **RES (Reserva):** Permite el flujo de combustible cuando el nivel es inferior a 1,2 litros. En esta posición, debes buscar una estación de servicio lo antes posible.
*   **OFF:** Corta completamente el flujo de combustible.

Este grifo de combustible está conectado al tanque de combustible.","Está en el lateral del motor. Posiciones: ON, RES y OFF.","['Grifo de combustible\ndesde el tanque hasta el carburador, este tiene 3 posiciones.\nON:\ncantidad sea mayor a 1,2 litros, cuando la cantidad sea\nmenor a la mencionada la motocicleta se apagará.\nTapa del tanque de combustible\nPara abrir la tapa del depósito de combustible, inserte\nRES:\nla llave en la cerradura y gírela hacia la derecha y\nes menor a 1,2 litros, debe abastecer combustible lo\nlevante la tapa del tanque de combustible.\nantes posible.\nLa tapa se cierra empujándola hacia ab..."
cuales son las especificaciones de la bateria ,1.0,The score is 1.00 because there are no contradictions found between the actual output and the retrieval context.,0.6666666666666666,"The score is 0.67 because while the response provided some information about the battery, it did not fully address the specifications as asked.",0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,"¡Hola! Lamentablemente, no tengo las especificaciones técnicas de la batería de la Bajaj Boxer CT100 KS en los datos que me has proporcionado. Sin embargo, puedo decirte que la batería de tu motocicleta BAJAJ cuenta con una garantía de 6 meses o 6.000 km, lo primero que ocurra a partir de la fecha de entrega de tu motocicleta.","12V, 3Ah, tipo MF (libre de mantenimiento).","['GARANTÍA EN BATERÍAS: La batería de su motocicleta BAJAJ cuenta con una garantía de 6 meses o 6.000 km, lo primero que\nocurra a partir de la fecha de entrega de su motocicleta.\nCada Centro de Servicio UMA registrará la siguiente información de la batería en la hoja de vida de\nsu motocicleta garantizando así una adecuada trazabilidad y transparencia al cliente en el momento\nde evaluar una solicitud de garantía:\nINFORMACIÓN DE GARANTÍA DE LA BATERÍA\nFecha de Venta\nMarca\nReferencia\nSeria..."
cuantas marchas tiene la moto,1.0,"The faithfulness score is 1.00 because there are no contradictions found in the actual output, indicating a perfect alignment with the retrieval context.",0.5,"The score is 0.50 because while the output provided a greeting ('¡Hola!'), it did not address the question about the number of gears on a motorcycle.",0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,"¡Hola! Lamentablemente, no tengo la información sobre la cantidad de marchas que tiene la Bajaj Boxer CT100 KS en los datos que me has proporcionado.",Tiene 4 velocidades.,"['Aceite de Motor\n• p. 56\n• ¿Cómo Conducir tu Motocicleta? p. 24\n• p. 57\n• P. 26\n• p. 58\n• p. 30\n• p. 58\n• Almacenamiento de la Motocicleta ............................................ p. 34', 'diferentes velocidades, clima, gasolina, etc.), puede generar distintos sonidos y/o vibraciones, las cuales\nson característicos de cada modelo y no constituyen indicios de ningún problema en la motocicleta. Estos\nsonidos y vibraciones, incluso pueden variar entre motocicletas del mismo modelo y ..."
cada cuanto debo realizarle un mantenimiento preventivo o uno correctivo,1.0,"The faithfulness score of 1.00 indicates a perfect alignment between the actual output and the retrieval context, as there are no contradictions found in the provided data.",1.0,"The score is 1.00 because it directly addresses the question about maintenance, making it highly relevant.",1.0,The contextual precision score is 1.00 because all relevant nodes (ranked 1-5) are ranked higher than irrelevant nodes (ranked 6-7). The retrieval system successfully prioritized information related to the frequency and benefits of preventive maintenance and corrective maintenance over unrelated documents such as insumos y servicio mano de obra repuestos.,"¡Hola! Para tu Bajaj Boxer CT100 KS, te recomiendo realizar los mantenimientos preventivos según el siguiente esquema:

*   **Revisión de 500 - 750 km:** Primeros 15 a 30 días
*   **Revisión de 5.000 - 5.500 km:** Cada tres meses
*   **Revisión de 10.000 - 10.500 km:** Cada seis meses
*   **Revisión de 15.000 - 15.500 km:** Cada nueve meses
*   **Revisión de 20.000 - 20.500 km:** Cada doce meses
*   **Revisión de 25.000 - 25.500 km:** Cada quince meses
*   **Revisión de 30.000 - 30.500 km:** Cada dieciocho meses
*   **Revisión de 35.000 - 35.500 km:** Cada veintiún meses
*   **Revisión de 40.000 - 40.500 km:** Cada veinticuatro meses

Recuerda que realizar estos mantenimientos en los Centros de Servicio UMA te ayuda a mantener la garantía de tu moto y asegurar su buen funcionamiento. ¡Espero que esta información te sea útil!",Preventivo cada 5.000 km. Correctivo depende del desgaste. Es recomendable hacerlo en centros UMA.,"['PREGUNTAS FRECUENTES\n¿Porqué son importantes • Son los que garantizan la calidad, seguridad e idoneidad de la motocicleta. En esos\nlas revisiones de mantenimientos realizamos ajustes a diferentes sistemas de la motocicleta y además\nmantenimiento preventivo? recomendamos el cambio de algunas partes debido al desgaste normal por el uso\nfrecuente, el cambio de estas no corresponden a fallas en la motocicleta, por el\nPara resumir son dos los factores que\ncontrario se realizan con el fin de m..."
